nohup: ignoring input
[GIN] 2023/04/07 - 19:46:47 | 307 |     123.666µs |     192.168.2.1 | GET      "/"
[GIN] 2023/04/07 - 19:46:47 | 307 |     281.386µs |     192.168.2.1 | GET      "/home/index"
[GIN] 2023/04/07 - 19:46:47 | 200 |     685.476µs |     192.168.2.1 | GET      "/login"
[GIN] 2023/04/07 - 19:46:48 | 307 |     206.054µs |     192.168.2.1 | GET      "/favicon.ico"
[GIN] 2023/04/07 - 19:46:48 | 307 |     131.665µs |     192.168.2.1 | GET      "/home/index"
[GIN] 2023/04/07 - 19:46:48 | 200 |     126.813µs |     192.168.2.1 | GET      "/login"
[GIN] 2023/04/07 - 19:46:49 | 200 |     5.22253ms |     192.168.2.1 | POST     "/login"
[GIN] 2023/04/07 - 19:46:49 | 200 |    2.968308ms |     192.168.2.1 | GET      "/home/index"
[GIN] 2023/04/07 - 19:46:49 | 307 |     106.296µs |     192.168.2.1 | GET      "/favicon.ico"
[GIN] 2023/04/07 - 19:46:49 | 200 |    5.576767ms |     192.168.2.1 | GET      "/home/index"
[GIN] 2023/04/07 - 19:46:49 | 200 |   14.532654ms |     192.168.2.1 | GET      "/home/me"
[GIN] 2023/04/07 - 19:46:49 | 200 |    3.959577ms |     192.168.2.1 | GET      "/user/attention"
[GIN] 2023/04/07 - 19:46:52 | 200 |   16.694247ms |     192.168.2.1 | GET      "/admin/all?page=1&pageSize=18"
[GIN] 2023/04/07 - 19:46:52 | 307 |     109.759µs |     192.168.2.1 | GET      "/favicon.ico"
[GIN] 2023/04/07 - 19:46:52 | 200 |    3.073085ms |     192.168.2.1 | GET      "/home/index"
[GIN] 2023/04/07 - 19:46:53 | 200 |    2.807754ms |     192.168.2.1 | GET      "/home/index"
[GIN] 2023/04/07 - 19:46:53 | 307 |     108.739µs |     192.168.2.1 | GET      "/favicon.ico"
[GIN] 2023/04/07 - 19:46:53 | 200 |    2.876254ms |     192.168.2.1 | GET      "/home/index"
[GIN] 2023/04/07 - 19:46:53 | 200 |    4.859681ms |     192.168.2.1 | GET      "/home/me"
[GIN] 2023/04/07 - 19:46:53 | 200 |    5.294807ms |     192.168.2.1 | GET      "/user/attention"
[GIN] 2023/04/07 - 19:46:55 | 200 |   11.868065ms |     192.168.2.1 | GET      "/admin/maintain"
[GIN] 2023/04/07 - 19:46:55 | 307 |      190.98µs |     192.168.2.1 | GET      "/favicon.ico"
[GIN] 2023/04/07 - 19:46:55 | 200 |    2.379017ms |     192.168.2.1 | GET      "/home/index"
[GIN] 2023/04/07 - 19:46:56 | 200 |    3.309879ms |     192.168.2.1 | GET      "/home/index"
[GIN] 2023/04/07 - 19:46:56 | 307 |     156.425µs |     192.168.2.1 | GET      "/favicon.ico"
[GIN] 2023/04/07 - 19:46:56 | 200 |    2.532942ms |     192.168.2.1 | GET      "/home/index"
[GIN] 2023/04/07 - 19:46:56 | 200 |     4.42487ms |     192.168.2.1 | GET      "/home/me"
[GIN] 2023/04/07 - 19:46:56 | 200 |    4.207594ms |     192.168.2.1 | GET      "/user/attention"
[GIN] 2023/04/07 - 19:46:58 | 200 |   14.731856ms |     192.168.2.1 | GET      "/admin/equipment?page=1&pageSize=18"
[GIN] 2023/04/07 - 19:46:58 | 304 |     499.125µs |     192.168.2.1 | GET      "/static/js/admin_equipment.js"
[GIN] 2023/04/07 - 19:46:58 | 307 |      94.259µs |     192.168.2.1 | GET      "/favicon.ico"
[GIN] 2023/04/07 - 19:46:58 | 200 |    2.284332ms |     192.168.2.1 | GET      "/home/index"
[GIN] 2023/04/07 - 19:46:58 | 307 |      107.11µs |     192.168.2.1 | GET      "/favicon.ico"
[GIN] 2023/04/07 - 19:46:58 | 200 |    2.695032ms |     192.168.2.1 | GET      "/home/index"
[GIN] 2023/04/07 - 19:46:58 | 200 |    4.258186ms |     192.168.2.1 | GET      "/user/attention"
